Old Dutch Abbreviation,Modern Dutch,Modern English,Full Name (Dutch),Full Name (English)
1.Chro,1 Kron,1 Chr,1 Kronieken,1 Chronicles
1.Chron,1 Kron,1 Chr,1 Kronieken,1 Chronicles
1.Paral,1 Kron,1 Chr,1 Kronieken,1 Chronicles
1.Cor,1 Kor,1 Cor,1 Korinthe,1 Corinthians
1.Corint,1 Kor,1 Cor,1 Korinthe,1 Corinthians
1.Corinth,1 Kor,1 Cor,1 Korinthe,1 Corinthians
1.Ioan,1 Joh,1 John,1 Johannes,1 John
1.Joan,1 Joh,1 John,1 Johannes,1 John
1.Reg,1 Kon,1 Kgs,1 Koningen,1 Kings
1.Pet,1 Petr,1 Pet,1 Petrus,1 Peter
1.Petr,1 Petr,1 Pet,1 Petrus,1 Peter
1.Sam,1 Sam,1 Sam,1 Samuël,1 Samuel
1.Thess,1 Thess,1 Thess,1 Thessalonicenzen,1 Thessalonians
1.Thessal,1 Thess,1 Thess,1 Thessalonicenzen,1 Thessalonians
1.Tim,1 Tim,1 Tim,1 Timotheüs,1 Timothy
1.Timot,1 Tim,1 Tim,1 Timotheüs,1 Timothy
1.Timoth,1 Tim,1 Tim,1 Timotheüs,1 Timothy
2.Chro,2 Kron,2 Chr,2 Kronieken,2 Chronicles
2.Chron,2 Kron,2 Chr,2 Kronieken,2 Chronicles
2.Paral,2 Kron,2 Chr,2 Kronieken,2 Chronicles
2.Cor,2 Kor,2 Cor,2 Korinthe,2 Corinthians
2.Corint,2 Kor,2 Cor,2 Korinthe,2 Corinthians
2.Corinth,2 Kor,2 Cor,2 Korinthe,2 Corinthians
2.Ioan,2 Joh,2 John,2 Johannes,2 John
2.Joan,2 Joh,2 John,2 Johannes,2 John
2.Reg,2 Kon,2 Kgs,2 Koningen,2 Kings
2.Pet,2 Petr,2 Pet,2 Petrus,2 Peter
2.Petr,2 Petr,2 Pet,2 Petrus,2 Peter
2.Sam,2 Sam,2 Sam,2 Samuël,2 Samuel
2.Thess,2 Thess,2 Thess,2 Thessalonicenzen,2 Thessalonians
2.Thessal,2 Thess,2 Thess,2 Thessalonicenzen,2 Thessalonians
2.Tim,2 Tim,2 Tim,2 Timotheüs,2 Timothy
2.Timot,2 Tim,2 Tim,2 Timotheüs,2 Timothy
2.Timoth,2 Tim,2 Tim,2 Timotheüs,2 Timothy
3.Ioan,3 Joh,3 John,3 Johannes,3 John
3.Joan,3 Joh,3 John,3 Johannes,3 John
Act,Hand,Acts,Handelingen,Acts
Actor,Hand,Acts,Handelingen,Acts
Amos,Am,Amos,Amos,Amos
Col,Kol,Col,Kolossenzen,Colossians
Colos,Kol,Col,Kolossenzen,Colossians
Coloss,Kol,Col,Kolossenzen,Colossians
Dan,Dan,Dan,Daniël,Daniel
Deut,Deut,Deut,Deuteronomium,Deuteronomy
Deuter,Deut,Deut,Deuteronomium,Deuteronomy
Eccl,Pred,Eccl,Prediker,Ecclesiastes
Eccles,Pred,Eccl,Prediker,Ecclesiastes
Eph,Ef,Eph,Efeziërs,Ephesians
Ephes,Ef,Eph,Efeziërs,Ephesians
Esth,Est,Esth,Esther,Esther
Exo,Ex,Exod,Exodus,Exodus
Exod,Ex,Exod,Exodus,Exodus
Ezec,Ez,Ezek,Ezechiël,Ezekiel
Ezech,Ez,Ezek,Ezechiël,Ezekiel
Ezra,Ezra,Ezra,Ezra,Ezra
Gal,Gal,Gal,Galaten,Galatians
Galat,Gal,Gal,Galaten,Galatians
Gen,Gen,Gen,Genesis,Genesis
Genes,Gen,Gen,Genesis,Genesis
Hab,Hab,Hab,Habakuk,Habakkuk
Habak,Hab,Hab,Habakuk,Habakkuk
Hagg,Hag,Hag,Haggaï,Haggai
Heb,Hebr,Heb,Hebreeën,Hebrews
Hebr,Hebr,Heb,Hebreeën,Hebrews
Hos,Hos,Hos,Hosea,Hosea
Hose,Hos,Hos,Hosea,Hosea
Ies,Jes,Isa,Jesaja,Isaiah
Iesa,Jes,Isa,Jesaja,Isaiah
Iac,Jak,Jas,Jakobus,James
Iacob,Jak,Jas,Jakobus,James
Ier,Jer,Jer,Jeremia,Jeremiah
Ierem,Jer,Jer,Jeremia,Jeremiah
Iob,Job,Job,Job,Job
Ioel,Joël,Joel,Joël,Joel
Ioa,Joh,John,Johannes,John
Ioan,Joh,John,Johannes,John
Iohan,Joh,John,Johannes,John
Ion,Jona,Jonah,Jona,Jonah
Ione,Jona,Jonah,Jona,Jonah
Ios,Joz,Josh,Jozua,Joshua
Iosu,Joz,Josh,Jozua,Joshua
Iud,Jud,Jude,Judas,Jude
Iudae,Jud,Jude,Judas,Jude
Iude,Jud,Jude,Judas,Jude
Iudic,Recht,Judg,Rechters,Judges
Thren,Klaag,Lam,Klaagliederen,Lamentations
Lev,Lev,Lev,Leviticus,Leviticus
Levit,Lev,Lev,Leviticus,Leviticus
Luc,Luk,Luke,Lukas,Luke
Luce,Luk,Luke,Lukas,Luke
Mal,Mal,Mal,Maleachi,Malachi
Malach,Mal,Mal,Maleachi,Malachi
Marc,Mark,Mark,Markus,Mark
Mat,Matt,Matt,Mattheüs,Matthew
Math,Matt,Matt,Mattheüs,Matthew
Matt,Matt,Matt,Mattheüs,Matthew
Matth,Matt,Matt,Mattheüs,Matthew
Mich,Mi,Mic,Micha,Micah
Micha,Mi,Mic,Micha,Micah
Nah,Nah,Nah,Nahum,Nahum
Nahum,Nah,Nah,Nahum,Nahum
Nehem,Neh,Neh,Nehemia,Nehemiah
Num,Num,Num,Numeri,Numbers
Numer,Num,Num,Numeri,Numbers
Obad,Ob,Obad,Obadja,Obadiah
Obadja,Ob,Obad,Obadja,Obadiah
Philem,Filem,Phlm,Filemon,Philemon
Phil,Fil,Phil,Filippenzen,Philippians
Philip,Fil,Phil,Filippenzen,Philippians
Prov,Spr,Prov,Spreuken,Proverbs
Proverb,Spr,Prov,Spreuken,Proverbs
Ps,Ps,Ps,Psalmen,Psalms
Psal,Ps,Ps,Psalmen,Psalms
Psalm,Ps,Ps,Psalmen,Psalms
Apoc,Openb,Rev,Openbaring,Revelation
Apocal,Openb,Rev,Openbaring,Revelation
Rom,Rom,Rom,Romeinen,Romans
Ruth,Ruth,Ruth,Ruth,Ruth
Cant,Hoogl,Song,Hooglied,Song of Solomon
Cantic,Hoogl,Song,Hooglied,Song of Solomon
Tit,Tit,Titus,Titus,Titus
Titum,Tit,Titus,Titus,Titus
Zach,Zach,Zech,Zacharia,Zechariah
Zachar,Zach,Zech,Zacharia,Zechariah
Zeph,Zef,Zeph,Zefanja,Zephaniah
Zephan,Zef,Zeph,Zefanja,Zephaniah
